chr_num,chr_size,cen_name,latin_num,cen_start,cen_end
1,260522016,NaN,1,0,0
2,249053267,NaN,2,0,0
3,169034231,NaN,3,0,0
4,182687754,NaN,4,0,0
5,166875058,NaN,5,0,0
6,140994061,NaN,6,0,0
7,135012528,NaN,7,0,0
8,123900184,NaN,8,0,0
9,114175309,NaN,9,0,0
10,107211142,NaN,10,0,0
11,86241447,NaN,11,0,0
12,46669029,NaN,12,0,0
13,106807694,NaN,13,0,0
14,104886043,NaN,14,0,0
15,101769107,NaN,15,0,0
16,84729064,NaN,16,0,0
17,86533673,NaN,17,0,0
18,83828827,NaN,18,0,0
19,57337602,NaN,19,0,0
20,54435887,NaN,20,0,0
21,152453651,NaN,X,0,0
22,18315841,NaN,Y,0,0
